?.Name,$CrashAmount,$Churn,$Unique,$>SecurityFlaw
security/nss/lib/ssl/ssl.h,0,10,3,1
js/src/xpconnect/src/xpc.msg,0,11,8,1
toolkit/mozapps/downloads/content/downloads.js,0,11,8,1
security/nss/lib/ssl/sslimpl.h,0,11,3,1
dom/src/threads/nsDOMThreadService.h,0,12,7,1
security/nss/lib/ckfw/builtins/nssckbi.h,0,12,3,1
security/nss/lib/ckfw/builtins/certdata.c,0,15,3,1
layout/build/nsLayoutCID.h,0,15,9,1
layout/generic/nsFirstLetterFrame.h,0,15,8,1
netwerk/test/TestCookie.cpp,0,15,6,1
layout/style/nsFontFaceLoader.h,0,16,6,1
content/base/public/nsContentCID.h,0,18,13,1
layout/generic/nsHTMLParts.h,0,20,12,1
security/nss/lib/util/nssutil.h,0,20,3,1
security/nss/lib/softoken/softkver.h,0,20,3,1
security/nss/lib/nss/nss.h,0,20,3,1
dom/workers/EventTarget.cpp,0,20,10,1
content/svg/content/src/nsSVGTextElement.cpp,0,20,10,1
content/smil/nsSMILAnimationController.h,0,21,7,1
xpcom/string/public/nsTSubstring.h,0,22,12,1
js/src/jsmath.h,0,24,12,1
toolkit/mozapps/extensions/amWebInstallListener.js,0,25,6,1
modules/libpr0n/decoders/nsIconDecoder.cpp,0,25,6,1
content/svg/content/src/DOMSVGPointList.cpp,0,26,11,1
modules/plugin/test/testplugin/nptest.cpp,0,30,15,1
js/src/jsweakmap.h,0,30,11,1
content/smil/nsSMILTimedElement.h,0,34,7,1
layout/base/nsRefreshDriver.h,0,41,11,1
netwerk/base/public/nsNetUtil.h,0,47,22,1
js/src/jslock.h,0,47,18,1
widget/src/cocoa/nsChildView.h,0,75,20,1
content/base/public/nsIDocument.h,0,171,46,1
content/base/public/nsContentUtils.h,0,262,80,1
js/src/shell/js.cpp,0,643,71,1
browser/base/content/browser.js,0,660,132,1
toolkit/crashreporter/google-breakpad/src/client/windows/handler/exception_handler.cc,474816,5,3,0
widget/src/windows/nsAppShell.cpp,176086,32,12,0
obj-firefox/memory/jemalloc/crtsrc/jemalloc.c,140836,0,0,0
modules/plugin/base/src/nsNPAPIPluginInstance.cpp,128030,40,11,0
memory/mozalloc/mozalloc_abort.cpp,118162,7,6,0
xpcom/base/nsCycleCollector.cpp,111161,117,32,0
nsprpub/pr/src/md/windows/w95sock.c,95827,1,1,0
xpcom/reflect/xptcall/src/md/win32/xptcinvoke.cpp,76682,3,2,0
content/events/src/nsEventListenerManager.cpp,75742,99,38,0
widget/src/windows/nsWindow.cpp,74782,347,62,0
db/sqlite3/src/sqlite3.c,52951,16,8,0
nsprpub/pr/src/threads/combined/prulock.c,48568,0,0,0
ipc/chromium/src/base/message_pump_win.cc,44023,4,3,0
nsprpub/pr/src/io/prsocket.c,42489,0,0,0
obj-firefox/xpcom/build/nsCOMPtr.cpp,38709,0,0,0
js/src/methodjit/MethodJIT.cpp,36506,283,36,0
dom/plugins/PluginInstanceChild.cpp,30748,97,20,0
widget/src/cocoa/nsAppShell.mm,30472,23,12,0
nsprpub/pr/src/misc/prnetdb.c,26937,5,3,0
js/src/jsgcmark.cpp,26231,162,20,0
layout/style/nsCSSRuleProcessor.cpp,26001,136,31,0
netwerk/base/src/nsSocketTransport2.cpp,25022,64,22,0
xpcom/threads/nsThread.cpp,24750,40,18,0
xpfe/appshell/src/nsChromeTreeOwner.cpp,23044,11,9,0
js/src/xpconnect/src/xpcwrappednativescope.cpp,22515,63,20,0
js/src/jsgcinlines.h,21338,132,21,0
js/src/xpconnect/src/xpcjsruntime.cpp,20215,190,44,0
obj-firefox/xpcom/build/pldhash.c,20087,0,0,0
obj-firefox/dist/include/nsISupportsImpl.h,19837,0,0,0
js/src/xpconnect/src/xpcconvert.cpp,19621,95,26,0
uriloader/base/nsDocLoader.cpp,19435,23,12,0
memory/jemalloc/jemalloc.c,19065,61,23,0
dom/plugins/BrowserStreamChild.cpp,18475,1,1,0
ipc/glue/WindowsMessageLoop.cpp,17842,18,6,0
obj-firefox/memory/jemalloc/crtsrc/xstring,16251,0,0,0
obj-firefox/dist/include/nsAutoPtr.h,15651,0,0,0
layout/base/nsDisplayList.cpp,14663,227,46,0
js/src/xpconnect/src/xpcwrappednativejsops.cpp,13726,75,23,0
netwerk/base/src/nsFileStreams.cpp,13652,22,11,0
layout/style/nsRuleNode.cpp,13473,177,43,0
gfx/cairo/cairo/src/cairo-d2d-surface.cpp,13013,90,15,0
js/src/jsops.cpp,12896,109,15,0
layout/style/nsStyleStructList.h,12597,2,1,0
widget/src/windows/WindowHook.cpp,12545,5,3,0
layout/base/FrameLayerBuilder.cpp,12440,182,39,0
view/src/nsView.cpp,11078,80,20,0
modules/plugin/base/src/PluginPRLibrary.cpp,10959,20,9,0
layout/style/nsStyleContext.cpp,10848,33,16,0
xpcom/ds/nsObserverService.cpp,10751,6,4,0
accessible/src/xul/nsXULTreeAccessible.cpp,10567,68,18,0
xpcom/components/nsComponentManager.cpp,10564,74,21,0
js/src/methodjit/PolyIC.cpp,10499,427,38,0
obj-firefox/memory/jemalloc/src/jemalloc.c,10262,0,0,0
js/src/dtoa.c,10253,3,3,0
gfx/cairo/cairo/src/cairo-win32-surface.c,10202,13,9,0
modules/plugin/base/src/nsPluginNativeWindowWin.cpp,9596,12,6,0
js/src/jswrapper.cpp,9371,250,33,0
obj-firefox/dist/include/nsTHashtable.h,9116,0,0,0
xpfe/appshell/src/nsXULWindow.cpp,8902,61,28,0
intl/uconv/src/nsConverterOutputStream.cpp,8896,3,2,0
obj-firefox/dist/include/nsTArray.h,8790,0,0,0
nsprpub/pr/src/misc/prdtoa.c,8459,1,1,0
layout/style/nsStyleSet.cpp,8226,61,16,0
netwerk/cache/nsDiskCacheMap.cpp,7886,25,9,0
obj-firefox/ipc/ipdl/PPluginInstanceChild.cpp,7883,0,0,0
widget/src/xpwidgets/nsBaseAppShell.cpp,7770,22,12,0
toolkit/crashreporter/nsExceptionHandler.cpp,7690,76,29,0
netwerk/cache/src/nsDiskCacheDevice.cpp,7633,1,1,0
gfx/layers/basic/BasicLayers.cpp,7392,298,43,0
dom/plugins/PluginModuleChild.h,7333,26,13,0
js/src/jsatom.cpp,7328,190,36,0
obj-firefox/dist/include/nsCOMPtr.h,7162,0,0,0
nsprpub/pr/src/misc/pratom.c,7149,0,0,0
netwerk/base/src/nsStandardURL.cpp,7124,47,24,0
js/src/xpconnect/src/xpcprivate.h,7108,231,45,0
layout/style/nsCSSStyleRule.cpp,6508,24,5,0
obj-firefox/dist/include/nsINode.h,6239,0,0,0
gfx/layers/d3d10/LayerManagerD3D10.cpp,6114,63,20,0
dom/plugins/base/nsPluginHost.cpp,5930,71,24,0
obj-firefox/dist/include/nsExpirationTracker.h,5703,0,0,0
ipc/chromium/src/base/message_loop.cc,5607,8,6,0
